Rainfall (mm),Temperature (°C),Humidity (%),Flood Occurred,,,,,,,,,,
218.99949329699100,34.144337051165200,43.91296329635330,1,,,,,,,,,,
55.35359867961350,28.778773606025800,27.585422012964600,0,,,,,,,,,,
103.99190831096600,43.934955745918200,30.108737997777300,1,,,,,,,,,,
198.98419105734500,21.569353529527100,34.45369025447370,0,,,,,,,,,,
144.626803357344,32.63569247996820,36.29226674919590,0,,,,,,,,,,
221.57131159046800,36.00630044970670,39.380944736843500,1,,,,,,,,,,
288.36237036685800,39.766934680361400,40.436802317079600,1,,,,,,,,,,
34.96400631455930,27.209130912840200,56.45730763900290,1,,,,,,,,,,
212.8703149194180,35.607657229724400,60.7658552660833,0,,,,,,,,,,
69.10324668963440,24.096044141528500,44.710336650108500,0,,,,,,,,,,
124.34301822227100,28.06428277085460,92.58371359365830,1,,,,,,,,,,
9.858817738541950,41.86881393610200,64.25117786711640,1,,,,,,,,,,
40.77221468780970,43.49722827992860,82.99815424267250,0,,,,,,,,,,
95.9331867146699,36.56452040781790,93.93902659366750,0,,,,,,,,,,
102.59574158639500,26.230556723285600,33.05080916606440,0,,,,,,,,,,
269.8755649386290,39.60173369923990,54.229958697250800,1,,,,,,,,,,
222.54387277995500,15.776012451762600,54.656832137168700,0,,,,,,,,,,
291.6548904561120,18.082377316182600,48.35778003506830,1,,,,,,,,,,
179.72145310057200,34.84121209126080,20.712469324131200,1,,,,,,,,,,
72.51411962739540,23.73745725810170,85.2777686222476,0,,,,,,,,,,
98.29650897649290,43.54158655201430,28.924745724312200,1,,,,,,,,,,
95.95077698759010,28.08181836276910,99.63844783374070,0,,,,,,,,,,
97.94829829897550,27.88094461167530,81.83667935289450,0,,,,,,,,,,
201.8892519335450,35.34238530572790,66.40080140852120,0,,,,,,,,,,
159.24237842712500,38.027056869185700,32.3685134193278,0,,,,,,,,,,
115.62725342599300,29.266762143754100,61.23143771145980,1,,,,,,,,,,
44.72693061861500,21.420027051351700,40.88869926862470,0,,,,,,,,,,
6.641748882643770,38.19925928176870,40.185801963445600,0,,,,,,,,,,
65.65040327630780,24.610538246208800,86.36233995059880,0,,,,,,,,,,
32.24142119060440,20.25332307881570,50.451553916754800,1,,,,,,,,,,
235.6335092556720,33.9492056977504,56.05790427126430,1,,,,,,,,,,
33.74938734416560,17.71361000971050,87.43717902240950,1,,,,,,,,,,
217.26847119205100,44.14058025258170,27.023250057507400,0,,,,,,,,,,
115.6976069328250,33.97191793236410,67.56942824728400,1,,,,,,,,,,
22.01351692313280,44.57686562765270,66.25725450984300,1,,,,,,,,,,
243.81901482947600,25.166802704359100,54.017165541334000,0,,,,,,,,,,
173.889171070984,44.136154835711900,86.38197131392740,1,,,,,,,,,,
70.72845385907190,19.366867431858700,95.43120490685540,1,,,,,,,,,,
268.4043522998000,16.220843170410900,57.22686895308890,1,,,,,,,,,,
13.577494161165400,15.989521813638100,56.49176407987200,0,,,,,,,,,,
60.54588245932890,28.946111117976800,60.16509837365960,1,,,,,,,,,,
225.6140783417580,17.490125924357800,77.84992246664490,0,,,,,,,,,,
212.81337909296700,30.365036525028100,73.44482325591700,0,,,,,,,,,,
86.7815081173434,24.825015105267000,37.826795936551000,0,,,,,,,,,,
18.607462605834900,25.06886977422350,25.111627887947500,0,,,,,,,,,,
257.4234216674830,34.06826989635510,95.94033038534320,0,,,,,,,,,,
94.10929142097080,19.892940184548600,40.885580778696300,0,,,,,,,,,,
58.714024478479600,37.99660111019190,71.08773477524730,1,,,,,,,,,,
154.81854670829300,32.460927593359000,86.27504021949780,0,,,,,,,,,,
273.0681597847340,42.44833886542530,44.022140043774900,0,,,,,,,,,,
13.063973353012600,25.9452196130257,70.8346730925543,0,,,,,,,,,,
229.74122640926600,44.48144976201380,28.632019291938000,1,,,,,,,,,,
171.74196838161300,32.274829401420700,97.59451555005290,0,,,,,,,,,,
127.63473496554500,44.202058685626000,24.65266200405010,0,,,,,,,,,,
223.224133231518,15.81181962141350,55.053973907278100,0,,,,,,,,,,
289.7473273324900,36.839289672371600,62.94553936480190,1,,,,,,,,,,
68.76186334880730,39.49864572878210,83.23854229306910,0,,,,,,,,,,
43.09420952163590,16.595198600294600,29.690281365793700,0,,,,,,,,,,
273.8645235668090,32.36908992048740,55.26463790841410,1,,,,,,,,,,
200.6859232371910,39.05826880768350,43.976925563476200,1,,,,,,,,,,
131.3958064685900,31.831161756692200,44.960857255467200,1,,,,,,,,,,
171.97787107928500,16.914407712164,82.30303328522010,1,,,,,,,,,,
223.6841715528730,35.80341722694930,20.43687560254670,1,,,,,,,,,,
231.90956961171500,16.81790744019930,79.9266913068773,1,,,,,,,,,,
275.96825424568900,39.524066850493200,84.8318744098485,1,,,,,,,,,,
128.0528366686870,16.29102549920080,92.10897950736550,0,,,,,,,,,,
88.02327300581850,19.121921430311100,70.15054425843870,1,,,,,,,,,,
191.89928003695300,23.253227715698100,46.6764262617793,1,,,,,,,,,,
124.7183697838590,34.000943767824,54.178778603909700,0,,,,,,,,,,
178.37953618469300,44.29077298893920,97.57888658299430,0,,,,,,,,,,
125.99573953678500,18.534685578598000,90.49494611486820,1,,,,,,,,,,
45.89873600345230,19.28123007641760,57.082072727955400,1,,,,,,,,,,
140.82802549768800,26.06611190102940,95.4450405688738,1,,,,,,,,,,
207.27534658231000,40.08657413265960,85.83639003251670,0,,,,,,,,,,
239.78514230029500,29.016928582524400,92.08718893278360,1,,,,,,,,,,
147.99788303896400,24.64831800767470,74.63817876607370,1,,,,,,,,,,
49.57136706312030,31.83611496626580,88.6123234769596,0,,,,,,,,,,
124.40631289482900,22.815695923372500,91.34129130674610,0,,,,,,,,,,
235.88817865250900,27.034797217425600,27.361326763253700,1,,,,,,,,,,
123.85778118512200,24.978154476961300,97.21735813285270,1,,,,,,,,,,
208.9592380812670,39.12423067243940,46.689047901125100,1,,,,,,,,,,
152.16410450342700,42.727671793140000,55.19196076666840,0,,,,,,,,,,
72.36693753281900,37.78716576470740,83.35230073542520,1,,,,,,,,,,
238.8451524069220,28.172507280899500,73.19170444579980,1,,,,,,,,,,
25.26403622120610,30.130049324899900,91.44479299488460,1,,,,,,,,,,
157.46708482654500,18.75221081788310,52.04590006214180,1,,,,,,,,,,
62.667310273021500,37.40594133403610,49.863053094092700,1,,,,,,,,,,
20.119688562412700,32.89427038185130,22.535107963305600,0,,,,,,,,,,
150.88018112497500,42.07319988412310,57.018030133572600,1,,,,,,,,,,
149.86864678047700,21.018334307254600,77.92566162632870,1,,,,,,,,,,
212.07027050271600,37.791783657978400,44.09429741009730,1,,,,,,,,,,
223.42520791557100,35.54014985157570,57.01812109390730,0,,,,,,,,,,
218.33744660786900,22.975366014292600,37.55182147882220,0,,,,,,,,,,
122.8676198750270,35.02135918622480,81.82302446971690,0,,,,,,,,,,
189.50693616796900,42.73120141729950,24.840924907291800,1,,,,,,,,,,
173.0835727931880,42.55307963001360,76.43064440003990,1,,,,,,,,,,
126.46852683507600,36.588797235484200,50.31520093959870,0,,,,,,,,,,
179.16380825579800,16.4421933760218,23.32768555096970,1,,,,,,,,,,
284.17436301187900,41.16793011960490,88.27756698334290,1,,,,,,,,,,
57.86812310441320,34.7333582101362,59.017749054493200,1,,,,,,,,,,
271.7316287356580,24.313027595482000,67.94551756929030,0,,,,,,,,,,
16.03665419495950,20.61751085117100,78.56245532195660,0,,,,,,,,,,
92.5167638704982,18.486115889919500,72.4059546400951,1,,,,,,,,,,
86.44357458345850,16.50710697773280,78.46854966516890,1,,,,,,,,,,
187.9095323642720,37.62309743852270,80.98253476622860,1,,,,,,,,,,
39.36748553318710,22.075289968298300,67.13212244516890,0,,,,,,,,,,
